,CustomerId,Profit,Recency,Frequency,Monetary,Variance,RFM_group_name,SegmentID,Segment_Name
0,1.0,187.0,63.0,1.0,2349.06,2.0,Hibernating,0,brąz
1,2.0,96.0,10.0,6.0,922.62,4.0,Potential Loyalist,2,srebro
2,3.0,47.0,35.0,4.0,881.22,3.0,Hibernating,0,brąz
3,4.0,294.0,5.0,1.0,3815.16,2.0,Potential Loyalist,2,srebro
4,5.0,732.0,4.0,31.0,41868.11,29.0,Champion,1,złoto
5,6.0,37.0,16.0,3.0,2053.4,8.0,About To Sleep,2,srebro
6,7.0,264.0,11.0,12.0,4861.49,12.0,Loyal Custome,2,srebro
7,8.0,188.0,4.0,8.0,4010.69,9.0,Loyal Custome,2,srebro
8,9.0,316.0,4.0,21.0,12636.8,20.0,Champion,1,złoto
9,10.0,528.0,5.0,18.0,17741.24,26.0,Champion,1,złoto
10,11.0,87.0,18.0,6.0,5542.36,10.0,Needs Attention,2,srebro
11,13.0,445.0,5.0,14.0,24193.52,23.0,Champion,1,złoto
12,14.0,434.0,17.0,8.0,35265.23,24.0,Loyal Custome,2,srebro
13,15.0,247.0,25.0,8.0,17161.14,17.0,At Risk,2,srebro
14,16.0,111.0,4.0,7.0,1551.15,3.0,Potential Loyalist,2,srebro
15,17.0,320.0,5.0,15.0,7345.29,20.0,Loyal Custome,1,złoto
16,18.0,18.0,7.0,2.0,339.1,5.0,Potential Loyalist,0,brąz
17,19.0,36.0,40.0,7.0,774.44,5.0,Uncertain,0,brąz
18,20.0,26.0,59.0,3.0,251.98,2.0,Hibernating,0,brąz
19,21.0,156.0,32.0,4.0,11455.86,10.0,At Risk,2,srebro
20,22.0,30.0,42.0,1.0,139.76,1.0,Hibernating,0,brąz
21,23.0,251.0,5.0,13.0,5230.98,19.0,Loyal Custome,1,złoto
22,24.0,42.0,41.0,3.0,351.06,3.0,Hibernating,0,brąz
23,25.0,94.0,5.0,5.0,2265.75,10.0,Potential Loyalist,2,srebro
24,26.0,957.0,3.0,22.0,35229.52,34.0,Champion,1,złoto
25,28.0,304.0,47.0,4.0,5845.68,6.0,At Risk,0,brąz
26,29.0,79.0,3.0,9.0,750.84,8.0,Potential Loyalist,2,srebro
27,30.0,39.0,18.0,3.0,602.63,2.0,About To Sleep,0,brąz
28,31.0,36.0,2.0,2.0,537.0,2.0,Potential Loyalist,2,srebro
29,32.0,123.0,4.0,6.0,3461.61,12.0,Potential Loyalist,2,srebro
30,33.0,115.0,55.0,3.0,5802.5,14.0,Hibernating,0,brąz
31,34.0,56.0,32.0,5.0,427.31,4.0,Hibernating,0,brąz
32,35.0,6.0,63.0,1.0,49.99,1.0,Hibernating,0,brąz
33,36.0,39.0,2.0,8.0,1195.41,6.0,Potential Loyalist,2,srebro
34,37.0,548.0,2.0,14.0,23431.21,20.0,Champion,1,złoto
35,38.0,251.0,5.0,10.0,6580.88,8.0,Loyal Custome,1,złoto
36,39.0,597.0,3.0,27.0,29915.37,26.0,Champion,1,złoto
37,40.0,270.0,24.0,13.0,3499.2,9.0,At Risk,2,srebro
38,41.0,638.0,6.0,16.0,37273.21,39.0,Loyal Custome,1,złoto
39,43.0,8.0,40.0,1.0,75.48,1.0,Hibernating,0,brąz
40,44.0,8.0,63.0,1.0,75.48,1.0,Hibernating,0,brąz
41,45.0,435.0,4.0,14.0,20953.36,21.0,Champion,1,złoto
42,46.0,516.0,6.0,14.0,14164.84,22.0,Loyal Custome,1,złoto
43,47.0,29.0,3.0,4.0,295.92,4.0,Potential Loyalist,2,srebro
44,48.0,314.0,3.0,15.0,8863.08,14.0,Loyal Custome,1,złoto
45,49.0,356.0,4.0,17.0,13089.16,19.0,Champion,1,złoto
46,50.0,191.0,6.0,3.0,1979.79,7.0,Potential Loyalist,2,srebro
47,52.0,667.0,1.0,3.0,55547.8,14.0,Uncertain,1,złoto
48,53.0,800.0,3.0,11.0,39119.06,25.0,Loyal Custome,1,złoto
49,54.0,414.0,5.0,25.0,65626.88,25.0,Champion,1,złoto
50,55.0,48.0,33.0,2.0,349.92,1.0,Hibernating,0,brąz
51,56.0,1192.0,4.0,24.0,93531.57,46.0,Champion,1,złoto
52,57.0,40.0,12.0,4.0,130.72,1.0,About To Sleep,0,brąz
53,58.0,271.0,3.0,22.0,4340.73,8.0,Loyal Custome,1,złoto
54,59.0,442.0,5.0,13.0,18207.51,12.0,Champion,1,złoto
55,60.0,17.0,21.0,5.0,295.21,3.0,About To Sleep,0,brąz
56,61.0,28.0,7.0,7.0,683.35,6.0,Potential Loyalist,2,srebro
57,62.0,174.0,5.0,12.0,5437.51,15.0,Loyal Custome,1,złoto
58,63.0,318.0,3.0,13.0,9916.47,12.0,Champion,1,złoto
59,64.0,18.0,18.0,2.0,290.4,3.0,About To Sleep,0,brąz
60,65.0,95.0,4.0,24.0,2178.73,13.0,Uncertain,1,złoto
61,66.0,145.0,10.0,9.0,7234.36,12.0,Loyal Custome,2,srebro
62,67.0,2851.0,10.0,11.0,467173.25,61.0,Loyal Custome,1,złoto
63,68.0,3645.0,3.0,36.0,73717.29,62.0,Champion,1,złoto
64,69.0,319.0,5.0,12.0,9566.5,7.0,Champion,1,złoto
65,70.0,1503.0,7.0,17.0,115407.56,50.0,Loyal Custome,1,złoto
66,71.0,82.0,21.0,5.0,1395.93,9.0,Needs Attention,2,srebro
67,72.0,4553.0,49.0,8.0,105275.94,6.0,At Risk,2,srebro
68,73.0,69.0,2.0,10.0,1186.25,6.0,Potential Loyalist,2,srebro
69,74.0,793.0,4.0,13.0,31984.79,39.0,Champion,1,złoto
70,75.0,279.0,5.0,10.0,7465.7,18.0,Loyal Custome,1,złoto
71,76.0,195.0,6.0,17.0,2867.65,15.0,Uncertain,2,srebro
72,77.0,21.0,13.0,3.0,524.76,4.0,About To Sleep,0,brąz
73,78.0,713.0,3.0,7.0,31663.0,18.0,Loyal Custome,1,złoto
74,79.0,325.0,7.0,6.0,25173.63,22.0,Uncertain,1,złoto
75,80.0,373.0,3.0,22.0,11111.18,22.0,Champion,1,złoto
76,81.0,166.0,10.0,7.0,6312.12,8.0,Loyal Custome,2,srebro
77,82.0,1509.0,7.0,18.0,75701.68,42.0,Loyal Custome,1,złoto
78,83.0,213.0,5.0,3.0,21170.92,22.0,Uncertain,2,srebro
79,84.0,316.0,5.0,20.0,6530.72,9.0,Loyal Custome,1,złoto
80,85.0,290.0,41.0,2.0,5392.08,4.0,Hibernating,0,brąz
81,86.0,71.0,6.0,12.0,1297.59,8.0,Uncertain,2,srebro
82,87.0,30.0,47.0,1.0,148.29,1.0,Hibernating,0,brąz
83,88.0,6.0,54.0,3.0,87.17,2.0,Hibernating,0,brąz
84,89.0,344.0,11.0,13.0,15997.74,28.0,Loyal Custome,1,złoto
85,90.0,1068.0,7.0,18.0,40522.53,39.0,Loyal Custome,1,złoto
86,91.0,313.0,4.0,23.0,13311.28,20.0,Champion,1,złoto
87,92.0,42.0,48.0,3.0,741.48,4.0,Hibernating,0,brąz
88,94.0,181.0,13.0,2.0,2739.04,5.0,About To Sleep,0,brąz
89,95.0,452.0,11.0,17.0,15568.93,28.0,Loyal Custome,1,złoto
90,96.0,98.0,7.0,13.0,1176.92,7.0,Uncertain,2,srebro
91,97.0,2281.0,6.0,16.0,251457.4,30.0,Loyal Custome,1,złoto
92,98.0,204.0,6.0,7.0,6524.25,10.0,Loyal Custome,2,srebro
93,100.0,1677.0,7.0,16.0,134508.7,34.0,Loyal Custome,1,złoto
94,101.0,1907.0,11.0,13.0,138180.25,42.0,Loyal Custome,1,złoto
95,102.0,264.0,19.0,10.0,7890.94,15.0,Loyal Custome,2,srebro
96,103.0,205.0,3.0,12.0,9996.0,18.0,Champion,1,złoto
97,104.0,61.0,6.0,9.0,2651.49,7.0,Potential Loyalist,2,srebro
98,105.0,240.0,4.0,12.0,13218.21,19.0,Champion,1,złoto
99,106.0,30.0,66.0,1.0,16.44,1.0,Hibernating,0,brąz
100,107.0,230.0,3.0,5.0,11636.04,20.0,Uncertain,1,złoto
101,108.0,34.0,18.0,2.0,1552.87,7.0,About To Sleep,0,brąz
102,109.0,182.0,7.0,9.0,3270.86,6.0,Potential Loyalist,2,srebro
103,110.0,3152.0,2.0,22.0,109332.32,48.0,Champion,1,złoto
104,111.0,524.0,2.0,19.0,15718.21,24.0,Champion,1,złoto
105,112.0,597.0,3.0,10.0,30218.41,24.0,Loyal Custome,1,złoto
106,113.0,184.0,12.0,9.0,1700.68,7.0,Needs Attention,2,srebro
107,114.0,452.0,3.0,13.0,15926.79,27.0,Champion,1,złoto
108,115.0,70.0,28.0,4.0,968.78,8.0,Hibernating,0,brąz
109,116.0,1382.0,6.0,15.0,89000.57,53.0,Loyal Custome,1,złoto
110,117.0,508.0,3.0,9.0,18499.61,22.0,Loyal Custome,1,złoto
111,118.0,144.0,32.0,4.0,1297.66,3.0,At Risk,0,brąz
112,119.0,202.0,14.0,9.0,2581.31,8.0,Needs Attention,2,srebro
113,120.0,74.0,45.0,3.0,1042.36,5.0,Hibernating,0,brąz
114,121.0,36.0,9.0,9.0,1375.16,8.0,Potential Loyalist,2,srebro
115,122.0,153.0,4.0,6.0,8945.05,12.0,Potential Loyalist,2,srebro
116,123.0,221.0,2.0,35.0,5359.9,10.0,Loyal Custome,1,złoto
